episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S02E02,272,1,"00:15:33,975","00:15:36,760",LOUIS DE POINTE DU LAC,What were the first words of the ancient vampire,uncertain,best contextual candidate from text-only sources,recognition_margin=1.55; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | ARMAND
S02E02,273,1,"00:15:36,810","00:15:38,760",LOUIS DE POINTE DU LAC,to the future love of his life?,uncertain,best contextual candidate from text-only sources,recognition_margin=1.55; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | ARMAND
S02E02,274,1,"00:15:39,360","00:15:41,160",ARMAND,I will not...,uncertain,best contextual candidate from text-only sources,recognition_margin=0.17; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | SANTIAGO
S02E02,275,1,"00:15:41,210","00:15:43,090",LOUIS DE POINTE DU LAC,Please.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.81; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,275,2,"00:15:41,210","00:15:43,090",LOUIS DE POINTE DU LAC,No.,uncertain,dash-turn alternation plus contextual text recognition,recognition_margin=0.12; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,276,1,"00:15:43,140","00:15:44,340",LOUIS DE POINTE DU LAC,Please.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.81; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,277,1,"00:15:46,820","00:15:50,730",LOUIS DE POINTE DU LAC,"He said, ""I will not harm you.""",uncertain,best contextual candidate from text-only sources,recognition_margin=0.30; no episode audio used,English,,DANIEL MOLLOY | ARMAND | SANTIAGO
S02E02,278,1,"00:15:52,080","00:15:53,650",LOUIS DE POINTE DU LAC,And I never have.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.30; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,279,1,"00:15:59,710","00:16:00,860",LOUIS DE POINTE DU LAC,Come.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.36; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,280,1,"00:16:02,680","00:16:05,410",ARMAND,And bring the petite beauty with you.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.18; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,281,1,"00:16:09,630","00:16:11,830",DANIEL MOLLOY,You are most welcome.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.37; no episode audio used,English,,ARMAND | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,282,1,"00:16:39,340","00:16:41,110",LOUIS DE POINTE DU LAC,Claudia!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.41; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,283,1,"00:16:41,167","00:16:42,740",CLAUDIA,Claudia!,high,direct-address response context,,English,,
S02E02,284,1,"00:16:42,790","00:16:44,030",CLAUDIA,Claudia!,high,direct-address response context,,English,,
S02E02,285,1,"00:16:46,420","00:16:48,970",CLAUDIA,I found someone. Or they found me.,high,direct-address response context,,English,,
S02E02,286,1,"00:16:49,020","00:16:50,360",LOUIS DE POINTE DU LAC,Found us!,uncertain,best contextual candidate from text-only sources,recognition_margin=1.25; no episode audio used,English,,ARMAND | SANTIAGO | DANIEL MOLLOY
S02E02,287,1,"00:16:50,410","00:16:51,880",LOUIS DE POINTE DU LAC,Give me that. Let me see.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.93; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,288,1,"00:16:52,600","00:16:53,930",DANIEL MOLLOY,Five months removed,uncertain,best contextual candidate from text-only sources,recognition_margin=0.03; no episode audio used,English,,ARMAND | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,289,1,"00:16:53,980","00:16:55,760",DANIEL MOLLOY,"from their velvet-heeled arrival,",uncertain,best contextual candidate from text-only sources,recognition_margin=0.03; no episode audio used,English,,ARMAND | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,290,1,"00:16:55,800","00:16:58,380",DANIEL MOLLOY,the Americans were finally coming to Pigalle.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.03; no episode audio used,English,,ARMAND | SANTIAGO | LOUIS DE POINTE DU LAC
S02E02,291,1,"00:16:58,430","00:17:00,890",LOUIS DE POINTE DU LAC,The perfumed armpit of Paris.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.13; no episode audio used,English,,ARMAND | DANIEL MOLLOY | SANTIAGO
S02E02,292,1,"00:17:00,940","00:17:03,565",ARMAND,Entradas. Tickets. Des billets.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.22; no episode audio used,English,,DANIEL MOLLOY | SANTIAGO | LOUIS DE POINTE DU LAC
